Title,Year,Album.debut,Duration,Other.releases
12-Bar Original,1965,Anthology 2,174,0
A Day in the Life,1967,Sgt. Pepper's Lonely Hearts Club Band,335,12
A Hard Day's Night,1964,UK: A Hard Day's Night US: 1962-1966,152,35
A Shot of Rhythm and Blues,1963,Live at the BBC,104,0
A Taste of Honey,1963,UK: Please Please Me US: The Early Beatles,163,29
Across the Universe,1968,Let It Be,230,19
Act Naturally,1965,UK: Help! US: Yesterday and Today,139,14
Ain't She Sweet,1961,Anthology 1,150,9
All I've Got to Do,1963,UK: With the Beatles US: Meet The Beatles!,124,9
All My Loving,1963,UK: With the Beatles US: Meet The Beatles!,124,32
All Things Must Pass,1969,Anthology 3,227,0
All Together Now,1967,Yellow Submarine,130,8
All You Need Is Love,1967,Magical Mystery Tour,237,25
And I Love Her,1964,UK: A Hard Day's Night US: Something New,152,29
And Your Bird Can Sing,1966,UK: Revolver US: Yesterday and Today,121,9
Anna (Go to Him),1963,UK: Please Please Me US: The Early Beatles,168,16
Another Girl,1965,Help!,124,9
Any Time at All,1964,UK: A Hard Day's Night US: Something New,133,15
Ask Me Why,1962,UK: Please Please Me US: The Early Beatles,144,24
Baby It's You,1963,UK: Please Please Me US: The Early Beatles,162,17
Baby's in Black,1964,UK: Beatles for Sale US: Beatles '65,122,20
"Baby, You're a Rich Man",1967,Magical Mystery Tour,183,10
Back in the U.S.S.R.,1968,The Beatles,163,13
Bad Boy,1965,UK: A Collection of Beatles Oldies US: Beatles VI,150,0
Bad to Me,1963,The Beatles Bootleg Recordings 1963,142,0
Beautiful Dreamer,1963,On Air - Live at the BBC Volume 2,106,0
Because I Know You Love Me So,1969,Let It Be... Naked - Fly on the Wall bonus disc,150,0
Because,1969,Abbey Road,165,11
Being for the Benefit of Mr. Kite!,1967,Sgt. Pepper's Lonely Hearts Club Band,157,7
Birthday,1968,The Beatles,162,11
Blackbird,1968,The Beatles,139,12
Blue Jay Way,1967,Magical Mystery Tour,235,13
Boys,1963,UK: Please Please Me US: The Early Beatles,144,21
Bésame Mucho,1962,Anthology 1,150,0
Can't Buy Me Love,1964,UK: A Hard Day's Night US: Hey Jude,131,42
Carol,1963,Live at the BBC,150,0
Carry That Weight,1969,Abbey Road,96,5
Catswalk,1962,,150,0
Cayenne,1960,Anthology 1,144,0
Chains,1963,UK: Please Please Me US: The Early Beatles,143,18
Child of Nature,1968,Let It Be... Naked - Fly on the Wall bonus disc,254,0
Christmas Time (Is Here Again),1967,The Beatles' Christmas Album,183,0
Circles,1968,,226,0
Clarabella,1963,Live at the BBC,160,0
Come and Get It,1969,Anthology 3,142,0
Come Together,1969,Abbey Road,258,17
Cry Baby Cry,1968,The Beatles,183,10
Cry for a Shadow,1961,Anthology 1,140,0
"Crying, Waiting, Hoping",1963,Live at the BBC,130,0
Day Tripper,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,170,20
Dear Prudence,1968,The Beatles,236,9
Devil in Her Heart,1963,UK: With the Beatles US: The Beatles Second Album,147,11
Dig a Pony,1969,Let It Be,232,12
Dig It,1969,Let It Be,51,10
"Dizzy, Miss Lizzy",1965,UK: Help! US: Beatles VI,145,18
Do You Want to Know a Secret?,1963,UK: Please Please Me US: The Early Beatles,116,23
Doctor Robert,1966,UK: Revolver US: Yesterday and Today,135,6
Don't Bother Me,1963,UK: With the Beatles US: Meet The Beatles!,149,11
Don't Ever Change,1963,Live at the BBC,123,0
Don't Let Me Down,1969,UK: 1967-1970 US: Hey Jude,215,17
Don't Pass Me By,1968,The Beatles,231,11
Drive My Car,1965,UK: Rubber Soul US: Yesterday and Today,148,17
Eight Days a Week,1964,UK: Beatles for Sale US: Beatles VI,164,23
Eleanor Rigby,1966,Revolver,128,16
Etcetera,1968,,150,0
Every Little Thing,1964,UK: Beatles for Sale US: Beatles VI,121,9
Everybody's Got Something to Hide Except Me and My Monkey,1968,The Beatles,144,10
Everybody's Trying to Be My Baby,1964,UK: Beatles for Sale US: Beatles '65,143,21
Fancy My Chances with You,1969,Let It Be... Naked - Fly on the Wall bonus disc,150,0
Fixing a Hole,1967,Sgt. Pepper's Lonely Hearts Club Band,146,5
Flying,1967,Magical Mystery Tour,137,12
