Song title,Genre,Songwriter,Lead.vocal,Top.50.Billboard
12-Bar Original,Blues,"Lennon, McCartney, Harrison and Starkey",,-1
A Day in the Life,"Psychedelic Rock, Art Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1
A Hard Day's Night,"Rock, Electronic, Pop/Rock",Lennon,"Lennon, with McCartney",8
A Shot of Rhythm and Blues,"R&B, Pop/Rock",Thompson,Lennon,-1
A Taste of Honey,"Pop/Rock, Jazz, Stage&Screen","Scott, Marlow",McCartney,-1
Across the Universe,"Psychedelic folk, Pop/Rock",Lennon,Lennon,-1
Act Naturally,"Country, Pop/Rock","Russell, Morrison",Starkey,50
Ain't She Sweet,Pop/Rock,"Yellen, Ager",Lennon,41
All I've Got to Do,Pop/Rock,Lennon,Lennon,-1
All My Loving,Pop/Rock,McCartney,McCartney,-1
All Things Must Pass,"Folk Rock, Pop/Rock",Harrison,Harrison,-1
All Together Now,"Skiffle, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1
All You Need Is Love,Pop/Rock,Lennon,Lennon,15
And I Love Her,Pop/Rock,"McCartney, with Lennon",McCartney,37
And Your Bird Can Sing,"Power Pop, Psychedelic Pop, Pop/Rock","Lennon, with McCartney",Lennon,-1
Anna (Go to Him),"Soul, Pop/Rock",Alexander,Lennon,-1
Another Girl,"Country Rock, Pop/Rock",McCartney,McCartney,-1
Any Time at All,Pop/Rock,"Lennon, with McCartney","Lennon, with McCartney",-1
Ask Me Why,Pop/Rock,"Lennon, with McCartney",Lennon,-1
Baby It's You,Pop/Rock,"Bacharach, David, Dixon",Lennon,-1
Baby's in Black,"Folk Rock, Pop/Rock",Lennon and McCartney,Lennon and McCartney,-1
"Baby, You're a Rich Man","Psychedelic Pop, Psychedelic Rock, Pop/Rock",Lennon and McCartney,Lennon,48
Back in the U.S.S.R.,"Rock and Roll, Hard Rock, Pop/Rock",McCartney,McCartney,-1
Bad Boy,R&B,Williams,Lennon,-1
Bad to Me,"Beat, Pop/Rock",Lennon,Lennon,-1
Beautiful Dreamer,Pop/Rock,Foster,McCartney,-1
Because I Know You Love Me So,,"Lennon, McCartney","Lennon, McCartney",-1
Because,Pop/Rock,Lennon,"Lennon, McCartney, Harrison",-1
Being for the Benefit of Mr. Kite!,"Experimental Rock, Psychedelic Rock, Circus, Pop/Rock","Lennon, with McCartney",Lennon,-1
Birthday,"Hard Rock, Rock and Roll, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",-1
Blackbird,"Folk, Pop/Rock",McCartney,McCartney,-1
Blue Jay Way,"Psychedelic Rock, Pop/Rock",Harrison,Harrison,-1
Boys,"Rock and Roll, Pop/Rock","Dixon, Farrell",Starkey (Best),-1
